,accuracy,precision,recall,f1_score,roc_auc,cv_mean,cv_std
logistic_regression,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9497767857142857,0.8220744680851064,0.07641082879938525
random_forest,0.8666666666666667,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.94140625,0.8180851063829786,0.06032122319138984
